x,y,label,text
4.805223,5.1299853,5,"  No.  This Team does not get nervous.  We are a very poised, confident group.  We are prepared to go out and play each and every game, and this week is no different."
5.466851,6.898895,2,"I was trying to put away the hitter. For me something very big because that hitter is very big right now, he's on fire. And it's taking something special for me. And it was very good."
6.8078103,4.929914,2,"I mean, I think certainly early in the season that was a major factor. As the season has progressed, it's become less and less of a factor, but it's because we've had to adjust how we do business."
6.8817854,6.7439756,7,"We've been talking a lot. Talk a little bit about baseball, talk about his workouts, and other stuff. He's in a good place."
5.4369855,6.473091,7,"  Yeah, absolutely.  It's gorgeous out here.  Really made it super fun having so many people watch, even though it wasn't official spectators."
8.601282,6.1154256,1,"I'm not thinking.  That's something that me and Matt have connected on before.  Incredible look by Matt, and I just had to do the easiest part and put it in the back of the net."
5.911871,4.139216,2," Why, because they are all so good and they have done so many good things in golf.  They have won so many tournaments, their golf game is just close to perfection, so of course I am intimidated."
5.808935,4.84136,2," Yeah, yeah, it's much better with my technique.  It's much better and now on I knew on hardcourt I couldn't play good.  I could play good, but now, I'm sure."
7.9105844,6.2709446,2,"I think it made a difference. We ran second, led some laps, ran second all day. We were just a little bit off on speed from the 18 I felt like."
4.8555098,6.361349,2,"Yeah, it just depends on what type of hitter you are. Some people stick to your approach. Some people try to play along a little bit and kind of get a step ahead of him."
6.389663,3.4975677,5,  I felt like that a little bit.  I notice that Ally would always make it on top of me so I thought I was good motivation for her.
7.559842,3.9581382,2,"  Oh, my God.  (Laughs) I'm done.  It was a struggle today, especially off the tee.  I think I was spending more time with the crowd than I was inside the ropes today.  So being very fan friendly today."
6.7726207,2.7359035,3,"This is something that, like I said, he came in yesterday and felt it a little bit and had these little spasms. Today he woke up and it was a lot worse."
8.533969,6.361902,4,"Well, I wouldn't expect the worst strikeout Team to be in the World Series, you know what I'm saying? So I expect them to be good and they are really good."
6.990062,4.179071,2, You've had an incredible season this year.  What do you put it down to?  You've been winning almost every other week.
7.462926,6.1584644,4,"First of all, I'll certainly give Salisbury the credit they deserve.  I thought they played a very good game today, very disciplined on offense, and their defense played tight all day.  I give them a lot of credit."
7.575231,4.150711,7," Oh, absolutely.  What can I tell you? Three days, I have been all day in the place here trying to play some tennis.  Finally I could go out yesterday for a couple of hours to get something."
7.14736,4.346571,7,"  The snarl?  I kind of just did it.  I've never really made that face before, like ever in my really entire life.  Kind of just happened in the midst of things, in the moment."
7.640332,3.4722598,2," I don't know.  I haven't played on stadium.  But compared to the other courts, it is slower, yeah.  It is a little bit difficult for a serve and volley player to play well there."
6.03585,5.9828367,5,"I echo that. When you have a place that you're proud of that you can go and say, This is such a beautiful field, let's all meet there, let's get together, the camaraderie, it's just amazing."
9.631178,4.70516,7,"  I'm definitely going to take some time off again.  I took a couple days off before this event, spend it with family.  I'm turning 23 on Wednesday and I don't know what I'm going to do yet."
6.339961,6.12644,5,"I'll second that.  They are tremendous players but even better people off the field.  I mean, just their leadership and their charisma is very easy to follow."
6.531042,4.9603443,6," Oh.  He is going to be tough.  I mean, he is very good player.  He is the top player.  So it is going to be tough."
6.614324,4.598014,6," I am not really looking that far ahead, playing Michael.  Right now I'm concerned about playing Enqvist and I will worry about it when the time comes."
5.8128085,5.3052673,2,"Well, blocking against Jazz Sweet is pretty frustrating, I'm not going to lie but I think we did a pretty good job of staying patient. They were going to get there but we weren't going to get too frustrated."
6.2428617,3.5799377,5,"All of them. I feel great, ready to go. This is exactly what I needed to get through here and get a little momentum built up. So feel good about all of them. "
9.114888,6.485426,5,"  Well, I guess to me, it just means that I played on some very good Teams, that's all.  Fortunate to be on the Teams that have made it this far."
7.550616,5.414044,7,"Obviously, there's measures in this contract that allow for the club to extend the payouts a few extra years in the contract that allows the immediacy of their payroll in the current year is where it has more flexibility."
9.418683,6.198552,1,"Of course. That's always going to help. And, again, like I said before, every Team here is looking for starters because you can never have enough. That's just a fact."
7.9833384,3.7194326,4,"I truly believe -- we had opportunities today. We've been doing really well, driving in runs with men in scoring position; it just didn't happen today. So we'll come back tomorrow."
6.8862453,5.2180476,7, To early to get in any kind of sense for me.  I don't think I have that much of a feel for the tournament yet.
6.244529,6.433547,1,"No, we're not practicing that, but I have some knowledge about that. So we share the knowledge with the girls, and we take the decisions -- I talk to keeper and bowler and one senior player. That's it."
8.977785,4.7301893,6, I would say so.  Obviously depends on what we get tomorrow.  But I think these are the conditions you expect when you come over here.
8.277981,4.1054378,2," Well, the 15 majors, but obviously that would be something very, very special.  I think so, yeah.  But hopefully before I get to 15, I'm up at 90."
8.159715,5.397793,7,"Yeah, it's a good question. I'm not the hiring authority, so I don't know, but I think it's important that we have really strong women in positions of leadership in our sport."
7.0934296,2.3881288,2, I dived because I had to get the point and there was a little bit of luck and I got it.
9.493289,4.7942624,3,"I'm actually looking at him right now, he just walked in my office. We haven't talked yet. I'm going to find out his status. He's going to talk to you in a few minutes."
8.261348,4.3158526,2," Yeah, I would definitely say so.  The approaches are also difficult to play in this kind of windy conditions, but still, I think it gives her more problems to pass me than for me coming in.  That is for sure."
8.287612,5.925527,2,  You don't get a chance to know each other too well.  The thing I know about him is he is a great leader for his football Team and he is a great player.
7.3671756,2.928082,2,"There was a lot of things that could happen with lap cars, him guessing wrong, me being able to run the bottom or run the top or get a good run or something along those lines. It never materialized. "
7.085118,2.4952526,2,"Marisnick? Jake is an impact defender, he's got some base running skills that we can utilize hitting in front of the pitcher. He's got a little bit of history with Corbin, having done pretty well with him."
8.488536,2.9725819,7,"  It was fun.  It's nice having my brother on the bag, but it's cool.  This is the first time dad has caddied for me since I've been on tour."
5.2416515,5.303607,3," Obviously, it didn't.  Usually I play pretty well when I have an injury, but normally I don't make it a habit."
8.652894,4.4712324,5,I think we obviously have to respond from last night.  It's always about what's in front of you.  Whatever is behind is in the past.  You have no control over it.
5.269714,2.4829433,1,"  Yeah, you know, we realized what they were doing defensive-wise, so we had a much better offensive output in this game, move the ball, move the ball, move the ball, and skew their defense."
6.9213257,4.8616357,7,"Yeah, to be honest, we haven't talked all about it. I know he had a great run. I think we all respect his career beyond just that. Yeah, just trying to get better."
7.005869,2.462082,2,"No, for me, he just got -- he starts the game, he gets a little quick. But then he settled down for a little bit and then Chirinos hit a good change-up."
7.19856,4.55069,2,  Probably on 16.  That was the longest putt that I holed today.  It was kind of across the green down there by the water.
5.3156605,5.669006,5," No.  Each one wants to do the best she can.  But we don't think ""I want to be better than my sister.""  Each one wants to do the best she can, but for herself."
7.8290234,6.5332885,5," Absolutely.  I'd like to see Michelle, although I didn't want her to win on Sunday because I wanted to win, but as it turned out neither of us won; obviously Karrie won."
8.498656,6.792692,4,Michigan State was a physical Team.  They dominated us in all three aspects of the game.  I thought they were a really well coached Team and physical throughout all four quarts.
6.4967246,3.826982,6,"Well, we feel like we're -- two years ago now this next year we feel like coming into this next season that's going to be the goal. It should be when you have won back-to-back 97-game seasons."
8.883273,5.698542,5,"I agree with everything they said. I couldn't have asked for a better senior year, and I'm just so thankful for everyone (tearing) Texas A&M volleyball has a really bright future and I'm excited to watch."
7.419317,6.9718685,2,"Yeah, absolutely, I got a couple to fix up about my mechanic, and I want to work this offseason about that."
5.3168583,4.2139063,7," Not many people would, but if someone starts to mention, hey, this and that the other, I say listen I could careless."
8.67566,5.871351,2,"Yeah, that line's been great for us whenever they're together.  Robby came in, brought some speed, some legs.  Looked pretty good."
6.6676664,4.266887,2, Not particularly.  I think surface probably suits him a little more than it suits me.  Probably more comfortable on this than he is on grass.
8.593143,4.3000474,5,"Obviously very proud to have followed Fernando Valenzuela, obviously something historic, and something that I'm obviously very happy about, very happy to have followed him and to have done what I've done today."
7.493869,5.2347383,5,I don't know about it is remarkable.  I think it is a testament of what people can endure or persevere.
5.5808315,3.888605,2,"Well, you're right, he was good in the No. 1 spot.  He was playing well, he likes to play fast, he was comfortable playing in the No. 1 spot.  Get out there and go, you know."
7.69653,2.7128284,5,"Enjoy it. Honestly, it's stuff you gotta go through. I got a lot of advice from friends of mine. Kevin Cash, he's one of them. Something you gotta go through."
7.5867844,6.1504617,5,"  Well, I don't know if that's true or what it is.  I think preparation and opportunity, those two things combine, good things happen."
6.3355403,3.7011328,7,"  Definitely feel a certain level of disconnection.  When you're here, you very much feel like you're in a bubble and kind of secluded and separated from the outside world."
5.9805565,6.4999576,2, Is this the best win that you have ever had against a big player or have you beaten another top player?
6.7219276,5.286308,7,"  I tell you tomorrow.  It is nothing knew to me.  I mean, I have been playing singles, doubles, mixed doubles at the tournaments, so it is no different than any other tournament."
7.6157484,3.189774,2," I will ask Tiger the same question after being the lead now at 6-under.  Some thoughts on your round today, and if you could go through your round card, if you don't mind."
7.178828,4.094027,2,"  You know, just being aggressive.  Taking the same shots that I took last game, and just having confidence in that.  My Teammates have confidence in me to score the ball."
7.539532,3.4646368,2," There was a serve.  It is difficult from the other side to judge a serve, but I felt it was out."
7.775982,6.565776,7,"And one more thing to add, the humidors don't really address the issue of drag. The humidors will affect the coefficient of restitution, but sort of the topic of drag isn't likely to be impacted by that."
5.206661,5.4099946,2,"  I think what everybody sees in them, they are very athletic.  They don't give up a lot of big plays and they make good plays."
5.663363,5.7998815,7, I am just going to let the Europeans do it because we are on deadline and if we want to go back to English we can.
8.289739,5.323506,2,"No, I don't think so.  He's a good defender, and I mean, I only one scored goal, so he did his job, I guess, and he played his position well."
8.2015,2.9358685,8,"It was pretty clear??̻<U+0080><U+0091>cut. The 21 hung a left, drove those guys down below the line. We called that twice on the 22 car during the race, so nothing different there."
8.357885,5.0489187,5,"Well, it's obviously a different experience.  Something that I'll definitely remember.  Something  that I'll look back on with fond memories."
9.364542,3.8650444,5,"Melanie, thank you so much. I want to echo as well your dad, truly amazing and inspiring, Mike. Definitely want to thank him for all of his efforts, and obviously your whole family. So thank you."
8.439507,6.001581,2,"Again, an incredible look by Matt Moore.  He did the grit, and I just saw a shooting lane and I took it.  But Matt Moore did an incredible job, eyes up, and to see the player he's become is incredible."
6.9180026,5.8877225,4,"Obviously we played a lot of world-class Teams in this tournament. But this performance would probably be one to remember by the players themselves, giving them motivation, and also for the fans back home as well."
5.5217676,2.3226817,2,"They positioned themselves pretty well. But we hit some balls hard. Trea hit a couple balls hard today, actually three balls hard. We've just got to keep battling."
5.794384,4.991777,4,"  It feels pretty good.  It is always good to win a Grand Slam title even in mixed.  I think very special and you only have so many chances to win them, they are good to take."
7.5169363,5.015604,7,My mom is someone that I talk to a lot and obviously she helped me out this morning. We had coffee. Just gave me some words of encouragement.
7.3190627,2.5020306,2,He's been vital to our run up to this point.  There's no question about that.  We are not here without him playing at such a high level.
7.8923545,7.131656,1,"Good afternoon, everyone. I have a couple of topics that I would like to cover and then obviously I will take questions, some of which I may answer."
8.702018,4.7388244,7,I am just very happy to be there.  It is just -- it is no time to be surprised or not to be surprised.
6.9470124,3.2782934,6," He's going to come out swinging, he's got a really nice backhand and he's been playing well all week, and I hope I can put the pressure on him and serve like I did today and we'll see what happens."
6.63292,3.6824744,2,I will still working on the same thing because like the first two hole I keep thinking about the outcome and I don't have good commitment at all.
4.6940656,4.401612,2,"  I thought to myself, I said, I tried to get a pitch to hit and he made a good pitch.  That was a fastball and I handled it."
6.2435155,3.3019943,4,"  It was a good settler.  I felt like I started fine, a little bit more steady than yesterday, so to roll that birdie in was good to gain some momentum for the rest of the day."
9.528299,4.8398795,5,"  I'm doing the same thing.  I'm gassing him up.  I feel like I'm putting that battery in his back.  There's a lot of times I tell him, ""Don't pass."""
6.1939945,6.3887525,5,"I think that's an Individual thing. Players have to pick themselves up. Management or anyone can go out and give advice, but at the end of the day, it's up to the player to go out there and execute."
7.570695,4.9151053,7,"Let me just add to that, that when Lloyd says we have no idea, you could interpret that to mean that nobody in this world has any idea because, if Lloyd doesn't know, then nobody knows. (Laughter.)"
7.9065223,4.7142096,5,"Obviously you can always shut the short.  So maybe give them something different.  Coach Conry was like  Nope, we're sticking to who we are and what we're all about."
6.9945564,3.0746772,4," When I am out there, it feels like it would be nice to know that I am a serving a little bit better and not miss easy shots at breakpoints, or game points or whatever."
6.319539,5.3643284,4," When you win a few matches, I beat good players, then you get more confidence and then you know that you can beat good players.  So that has happened a lot."
6.603175,6.9597087,8,"It's not what I want to be here talking about. And hopefully when AJ gets in here, he'll get back to talking about Game 3 and this series."
7.9746237,5.0833664,8,"To be honest with you, that probably helped distract me through the majority of the week. Just being able to talk about something else, not being so caught up in a points situation."
8.541303,4.3543653,4,"Yeah, it's been a long year, up and down.  All worth it in the end.  Obviously a little bonus scoring that goal last night, too."
6.410428,2.9721599,2," Yeah, not really-- and after they broke us, she got very confident.  She started to psych up and going for the shots."
5.253345,2.6846297,3,He felt something when he went to block that ball in his hip flexor. We don't know the severity of it yet. We'll know more tomorrow. But it is his right hip flexor.
8.731348,6.9525557,7,"ORLANDO HERNANDEZ (Through Leo Astacio)   I have given thought to everyone on their Team.  Luis Gonzalez, he's a member of that Team and I have thought about all of them."
7.1028357,4.6481137,4,"  Yeah, well, I knew that today playing in the morning, especially early, was going to be much more difficult than yesterday, as was shown by the scores yesterday morning."
6.55476,5.4059505,6," First, to rest, then I will see what other tournaments I will be playing and if it is Australia or not."
6.381611,5.915219,1,"  Yeah, obviously that opportunity helps, but I'm just getting out there and seizing the opportunity and knowing that I need to make plays in order for us to be successful."
6.1926985,7.2049537,1,"  You know, that's a great question.  I think the biggest thing is for me just studying the game, realizing what my strengths are and what Teams are trying to take away from my game."
6.212155,6.2390738,7,"He was a very smart player, and now he can share the knowledge he has with the players that he's going to manage. Carlos was always well respected, well received, and I know he will be there, as well."
5.9992676,3.9853816,8,"  I've never managed to find a comfort zone on this golf course.  It amazes me, but I think that's a tribute to how great of a design it is."
9.349415,5.106006,4,"Congratulations to Wesleyan, and Coach Raba a tremendous game.  It was a battle for 60 minutes.  They got the best of us today, but we battled till the end, and I'm very proud of the Seagulls."
6.159299,4.2876143,7," The Other Side of Midnight, and Memory -- Memories, something like that.  Two books of Sidney Sheldon.  So I finish them up.  So I don't have any  more to read.  I have to buy new ones."
8.145666,5.841214,7,"Hi, everybody. I'm Jon Sciambi, and it is my pleasure to welcome you all to this year's announcement of the 8th annual Winter Meetings Charity Auction. So thanks for being here. Appreciate it."
6.677062,6.303658,3,"Andy is fully recovered and has started maybe some light hitting. He's on a regular schedule. He'll be without any sort of setback in any area, he'll be 100 percent full go in Spring Training."
5.8156567,6.4139066,7,A lot of different and for the last days I played with some juniors because there is no more big players.
7.7189555,5.7709394,4,"Yeah, I agree with what both of them said. I think this is a really great way for us to go out, and to go out with this group of people who happen to be some of our best friends."
5.730664,4.9702444,2," I cannot think about that right now. Actually, my dream was to play one more good Grand Slam and retire and maybe it is coming true."
8.425806,4.837759,1,"It was really something that's been in the works for a little bit. I've sort of changed around my strategy going into, I guess, T20 cricket."
5.962433,3.8946335,4,I feel great right now.  What a beautiful day to play golf.  Braved the last two holes to kind of get myself back in the game.
5.0443892,6.2759795,1,I try not to watch my competitors anyway.  I try not to watch what they do all that much anyway.
5.3542256,4.6742754,7,"Probably so.  Actually he makes all sizes.  I know that my waist is a 30, but in his clothes I'm a 32, so it makes me feel a little bigger."
5.688715,6.42989,7,"The field crew at University of Arizona, they were my best buds. Johnny O., he was the director, he still is today. And the mound was absolutely gorgeous, the grass, there wasn't one flaw. So definitely University of Arizona."
8.921417,5.5560913,4,"First, just congratulations to Minnesota on a great season. They're a great Team. We saw them early and they definitely presented some unique challenges."
8.437913,3.9205713,6,Not really. We were just worrying about today. We knew that going in I guess there wasn't any reserve day. Hopefully the forecast changes. I've seen that happen before. And hopefully we get two really good semifinals in.
5.880765,5.9981446,4,You're obviously one of the leading players on the LET at the moment.  Does that put extra pressure on you coming in this week against players from America?
9.423607,4.5529885,1,"Yeah, it's definitely uncharted territory. And I'm just trying to continue to do what I've tried to do all year, is just take it one day at a time and just listen to the body."
6.0591216,6.3586607,8,"Yeah, because that's not coming from the players on the field. The players on the field, it's their job to guard against the players on the field. You can't guard against technology and players off the field."
7.7247667,5.3192534,2,"Gee, this is a Lisa Raymond -- Natasha Zvereva press conference. I don't know. Frankly, I don't know. I don't think anything lacking. She is playing good."
7.2603836,3.4309754,3,I had injured it the Friday just before the Monday at San Diego the tournament practicing.  I would probably say it affects me most definitely running.  On my serve and my backhand.
5.6086144,3.4814315,7,"Well, right now, based on what the organization make the move, we hired -- they hired him, before I got here, to be the closer. So that's something that we have to talk about."
5.4435635,4.934061,8,"Yeah, I appreciate the question. I think a lot -- people have spoken on this. I've spoken on this, I addressed it right away. Jeff just spoke."
6.9416776,2.668003,5,"The key for them is clearly Plummer. If she's good, then that creates space for everyone else. Everyone else can take a little breath. If they have to lean on everyone else, it gets a little bit different."
8.3164625,6.4048443,7,"We're excited to have with us a number of players who were named to the first and second Teams. Join me in welcoming the All-MLB second Team, designated hitter of the Houston Astros, Yordan Alvarez is with us."
8.356822,5.13697,7,"I think I will not miss cricket -- I mean, I'll be involved because I can't stay away from this. And somehow I'll be involved with cricket."
7.103964,6.5552497,1,"You know, I can't say we practice it a ton.  We talk about power play, that sort of thing.  Then defending also I think is something we cover and talk about."
6.1701922,4.2370644,4,"  I think I definitely left  -- I did yesterday, as well.  You know, one of my  -- one of my things about this golf course is that I just don't read those greens well."
8.797847,5.0537086,2,"  Yeah, so coming from KPMG I was extremely happy with my long game from tee to green, but the putts were not really dropping that week."
6.5574374,2.6052306,4,"  Is that aggressive?  (Laughs.) No, I think I played pretty well.  I'm getting it in the fairway, and then I really hit some good iron shots today."
8.019128,3.885449,5,Very happy with the home run. Obviously today all my Teammates were saying today is your day. Today is your day. And it happened so obviously very happy about it.
5.5512824,4.366588,2," I think I was very tired -- I was tired because I have been all the week with diarrhea, because the food here is not very good for me.  I was very tired, the whole match."
6.5825934,4.6097436,4," Yeah, a big surprise.  I was really surprised about; especially Jennifer yesterday.  I knew she had a tough match yesterday.  It wasn't going to be easy, but I didn't think she was going to lose."
6.135542,6.7482233,7," When the rankings were first released, she was ranked third.  I think any time you have a prominent player, there's always discussion.  Anyone who you ask, whether there's resistance or discussion, that's up for debate."
8.955171,6.6890426,4,"I think it affected our Team.  You know, I think collectively a lot of things affected our Team.  I do think that affected our Team."
6.088549,2.7196553,1,We started on the back nine and I started off hitting a 5-iron in there probably 18 feet from the hole and knocked it in for birdie.
6.382802,2.2109773,2," He was serving for the match at 5-1.  He was Love-all; he had hit a smash wide, real wide, and it was- -"
7.9779415,7.222182,1," You know, that's a hard question to answer simply because you haven't replaced it with another event.  The answer would probably be yes, I would have played, and I would have taken the  same approach."
6.9781585,4.567208,4,"It was tough for him, first game back.  That's a big game.  Obviously they didn't get a whole lot of time up there, so it's hard to evaluate it that much."
6.594172,6.569827,8,"Sure, I'm appreciative that the officials allowed it to be an aggressive game and they allowed big, physical contact to happen."
7.184711,5.280034,7,"  Well, you know, I don't think I was consciously thinking about the game at that time, but you pick up things if you're an independent kid."
6.518228,7.284416,7," We have world No. 1, Annika Sorenstam, the recent winner of the U.S. Women's Open and also the lady who won here in 2003.  There must be some good memories you have here."
6.124101,4.8450923,5,"  Well, start off with our Captain, Sue Bird, just leading us and it goes from the starting five all the way down to the players on the bench as well."
8.728072,5.8546977,7,"  I'm sure she is.  They're both great.  Pat was a pod captain last year too so I got to know her pretty well.  Yeah, they're both just great."
8.054333,4.7948966,8,I don't know that it's been a bit of a struggle and I think some of what's been identified as a struggle is explosive displays compared to what some of our Teams have done in the past.
7.3145056,6.280157,8,"Yes, we missed him in the first half and any conversations I have with him on whether he's coming back or what he's doing I will share with him and probably not anybody in here."
6.6630435,5.0497108,1,Today I went to the net a lot.  I felt very good.  There are going to be players where I am going to have to come in more.  I am working on that.  It is much better.
5.6368814,4.395216,6,"  You know, weather is really good and golf course is really good condition right now, so everybody -- I know everybody play well starting weekend, right?"
8.794032,6.7558136,7," I think size-wise, they compare to Nebraska close enough, their center is about the same size, the way their tackles would be, physical.  Just the quickness of the center, I'd say probably the most they compare to is Nebraska."
5.475187,3.818858,7,"  Lopez?  Yeah, I've faced him plenty of times, yeah, when he was with the Indians and this year with the Devil Rays.  He's a pitcher that comes right at you and I was looking to get at it right away."
8.902085,6.6560316,5,"We have a really good Team. We have a lot of good things going. We have -- we're trying to build the 2020 Team. Our energy's been spent on that. Obviously, it's been a different off-season for us."
9.387195,6.377465,7,"  Well, there's not uncertainty in my mind with LeBron James.  And [when] I took the job, we didn't have Anthony Davis.  We didn't have the whole Team.  It was a different Team after the fact."
6.1299005,5.1934257,2," I think it's just work has been paying off and I did good last year, I just didn't have any wins.  But I was playing good."
7.3607125,4.5852804,1,There's no doubt there's been a lot more time going into data and watching games. And there's so much footage now these days that you can't really hide.
8.32218,4.550877,2," Yeah, sure, she was.  She was making some doublefaults or easy volley mistakes and -- I mean, she is always a little bit nervous when it is getting close.  Yeah, she was, definitely."
8.528399,5.8016405,4,"Look, we know we're a great fielding unit. We normally have one of those games somewhere along the line. I'm just happy it's gone now, and I know the Team is going to do better next time."
5.8248205,2.2287624,2,"But Yadi can hit anywhere. Hit second for us, third, fourth, fifth. He can hit anywhere because Yadi has an approach, and so he's going to be productive."
5.480718,6.8651934,5,I'm living the dream. I know this is a big opportunity for me. It's a big year for me. And I'm going to do my best every outing and enjoy the time.
6.7546353,3.4735446,5,Feel really good.  I was just thinking like I don't want to discredit my round just because I played a couple bad holes towards the end of the day.
8.6027975,6.944146,8,"I thought we were disciplined. We weren't trying to do so much. I think when we've gone back and we watch how we defended her in the past, I thought it looked like a very undisciplined, poor-coached Team."
9.4298525,4.7136984,6,"  I mean, it definitely is a high percentage if I have a few days.  But like I said, I'm making some progress, then some days I'm the same.  We'll see.  We'll see."
7.798996,3.9577296,2,Just I think my game just is finally coming together.  I'm really comfortable my swing.  My PXG equipment has been working fantastic for me.
7.111318,5.559445,4,"Yeah, it definitely helps when you can get -- see their bullpen. This way you know in a long series like that you know who you're going to face, if you face them again, and what they have."
6.8733463,4.930269,4,"Yeah, I talked to him a little bit in Houston. A lot of guys who I've played with, we've gone through a couple of levels here and being able to play against somebody else, it's great."
6.106643,2.361761,2,"I started on 1, so first hole I hit a sand wedge about a foot, got it in my range.  I hit a 9-iron about two feet."
7.8937926,6.391242,5,"No, we're trying to win today's game. I'll empty my own tank. There's certainly a couple of guys that I'm not going to use; Greinke and Cole. But we're trying to win today's game."
5.742138,3.8260949,1,I know what the boards feel like (laughter).  I was a little bit confused where he was.  It was six-on-five.  You're just trying to find a spot to stand.  I was tired so I parked it in front.
8.32346,6.239115,7,"To talk about what Matt was saying and his lacrosse IQ, it was in the fall last year, it was freshmen fall."
7.6056848,7.1521845,7,"Every off-season we go through our baseball operations policies. Sign stealing was a big focus during the off-season last year, and I expect it will be this year as well."
5.0177755,5.9662437,3,"Yeah, he's in the clubhouse now. He's going to get treatment. He's going to do everything he can to try to get ready."
7.1064777,3.602506,4," I have played Sampras at Wimbledon this year, and that was a big match for me.  I didn't play too bad.  I played a few other guys."
5.585332,6.7830853,7,"It's amazing to see.  This is a hockey town.  They've been with us through the ups and downs.  They're excited.  This is something new and special, and they're a big part of it, a big piece of it."
7.7572865,4.832354,8,I think you heard Erik say in the previous interview there would probably be even more wrecks. We certainly don't need more wrecks than what we saw today. Probably not.
5.220312,5.4526424,5,I think everybody is excited about the game.  They have enjoyed their experience and they are going to be ready to play.
7.609764,5.2414193,8,"I think you're always looking for pitching. I don't know that you ever have enough. I don't know. We'll see what's out there, see whatever. But like I say, I don't think you can ever have enough starting pitchers."
7.4665313,2.872166,5,"It's a little different than our old stadium, it's got some jagged edges around the outfield. It's going to take some time."
6.7382402,4.261928,7, You probably are not going to see us two doing a Stance Little League Clinic.  We are probably the two worst guys you would want to have your kids going up there and hitting like.  (Laughter.)
6.423272,4.3181224,5,"Yeah, I mean, of course you want to win every game.  I think if you think you're going to sweep every Team or the games that are left, I think you're maybe in a fantasy world."
8.763746,5.7210484,2,"It would be great for us, great for the Team, great for him.  He's locked in, laser like focus going into this ballgame and practicing well, preparing really well.  Not going to let himself get beat in this game."
7.4900823,3.353484,7,"  Yes.  Definitely got a lot of congratulations from Mike Whan, for example.  He texted me right after the third round last week, so that felt really special."
7.8404536,4.5605083,1,"  So I been working more on like short game and bunker play and putting as well.  Putting obviously has been paying off.  Short game, not so much so far.  That can change this week."
8.155768,6.7094584,7,I've been texting him. We've been trying to call and missing each other. He's been hunting in Ohio and somewhere else.
5.9636364,6.111214,6," No, I actually got a wild card.  I received an invitation to play Doral as kind of a home player, I live only an hour north of Doral."
5.557302,5.878401,6,We had three-hour training camp practice yesterday (laughing).  It's just prep.  Normal prep in between games.  Our guys are ready.
